seqnames	start	end	width	strand	V4	V5	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS
9	24068972	24069372	401	*	*	-0.0568091150857061	Intron (ENSMUST00000133787/ENSMUSG00000043659, intron 3 of 5)	9	24009314	24227694	218381	1	ENSMUSG00000043659	ENSMUST00000059650	59658
X	7750367	7750766	400	*	*	-0.0783464642070212	Promoter (<=1kb)	20	7750483	7760703	10221	1	ENSMUSG00000031156	ENSMUST00000115663	0
X	72051708	72052107	400	*	*	-0.0791423693845772	Intron (ENSMUST00000164800/ENSMUSG00000031351, intron 12 of 18)	20	72035685	72035750	66	1	ENSMUSG00000089357	ENSMUST00000158732	16023
15	81742225	81742624	400	*	*	-0.0935846813941577	Promoter (<=1kb)	15	81739935	81742524	2590	2	ENSMUSG00000048546	ENSMUST00000229500	0
2	12770114	12770513	400	*	*	0.0732571144162848	Distal Intergenic	2	12702228	12711664	9437	1	ENSMUSG00000104045	ENSMUST00000192277	67886
11	69523389	69523788	400	*	*	-0.0965517916654235	Promoter (<=1kb)	11	69523816	69544123	20308	1	ENSMUSG00000018765	ENSMUST00000018909	-28
8	84938649	84939048	400	*	*	0.0839717810843678	Exon (ENSMUST00000039480/ENSMUSG00000035671, exon 14 of 14)	8	84935549	84936238	690	1	ENSMUSG00000097296	ENSMUST00000180630	3100
7	84428696	84429095	400	*	*	0.0669043372174328	Distal Intergenic	7	84424911	84425228	318	1	ENSMUSG00000085236	ENSMUST00000168496	3785
16	57211753	57212152	400	*	*	-0.0914069560339346	Intron (ENSMUST00000159816/ENSMUSG00000043336, intron 1 of 4)	16	57173640	57336053	162414	1	ENSMUSG00000043336	ENSMUST00000099667	38113
10	85147676	85148075	400	*	*	0.0560951355761221	Promoter (1-2kb)	10	85149352	85150303	952	1	ENSMUSG00000050490	ENSMUST00000079684	-1277
6	118498470	118498869	400	*	*	0.0752958869665803	Promoter (1-2kb)	6	118495116	118500196	5081	2	ENSMUSG00000007827	ENSMUST00000188172	1327
5	109746719	109747118	400	*	*	-0.0947097200659651	Promoter (<=1kb)	5	109746945	109747029	85	1	ENSMUSG00002075066	ENSMUST00020183162	0
17	71765840	71766239	400	*	*	-0.0608896827088293	Promoter (<=1kb)	17	71765298	71766913	1616	2	ENSMUSG00000091831	ENSMUST00000171504	674
2	132441080	132441479	400	*	*	-0.0881120233995035	Promoter (<=1kb)	2	132440115	132494988	54874	1	ENSMUSG00000074783	ENSMUST00000153028	965
11	75351994	75352650	657	*	*	-0.0952828523269156	Promoter (<=1kb)	11	75352541	75360489	7949	1	ENSMUSG00000038217	ENSMUST00000124718	0
8	13402597	13402996	400	*	*	0.0730446423358801	Intron (ENSMUST00000209885/ENSMUSG00000038482, intron 2 of 11)	8	13415170	13420264	5095	1	ENSMUSG00000038482	ENSMUST00000210518	-12174
8	48370692	48371091	400	*	*	0.0931374354120847	Intron (ENSMUST00000057561/ENSMUSG00000031563, intron 2 of 22)	8	48352217	48352329	113	1	ENSMUSG00002075471	ENSMUST00020182395	18475
6	48899069	48899469	401	*	*	-0.0679463725178561	Distal Intergenic	6	48906829	48910621	3793	1	ENSMUSG00000029813	ENSMUST00000031837	-7360
2	19687786	19688185	400	*	*	0.0626734451692102	Promoter (2-3kb)	2	19681522	19690968	9447	2	ENSMUSG00000087246	ENSMUST00000135767	2783
9	115898892	115899291	400	*	*	-0.0586728199763852	Intron (ENSMUST00000240547/ENSMUSG00000056880, intron 17 of 17)	9	115869661	115870132	472	2	ENSMUSG00000080848	ENSMUST00000117563	-28760
8	49245595	49245994	400	*	*	0.0615299414550037	Intron (ENSMUST00000211812/ENSMUSG00000031561, intron 1 of 2)	8	49296700	49322051	25352	1	ENSMUSG00000100706	ENSMUST00000187946	-50706
10	75957352	75957751	400	*	*	0.0783049467156824	Distal Intergenic	10	75893328	75946795	53468	2	ENSMUSG00000020226	ENSMUST00000120757	-10557
12	109410950	109411349	400	*	*	0.064921324890184	Distal Intergenic	12	109418749	109419708	960	1	ENSMUSG00000040856	ENSMUST00000174539	-7400
16	3161807	3162206	400	*	*	-0.0885831959381466	Promoter (2-3kb)	16	3164776	3166796	2021	1	ENSMUSG00000116389	ENSMUST00000230278	-2570
6	121115339	121115744	406	*	*	0.0690940653523278	Distal Intergenic	6	120999169	121107959	108791	2	ENSMUSG00000051586	ENSMUST00000204248	-7380
17	81680103	81680504	402	*	*	-0.0701859676139553	Promoter (1-2kb)	17	81678262	81683723	5462	1	ENSMUSG00000117413	ENSMUST00000234591	1841
16	29883933	29884332	400	*	*	-0.0889809724807338	Promoter (<=1kb)	16	29884158	29886614	2457	1	ENSMUSG00000022528	ENSMUST00000023171	0
9	25163549	25163948	400	*	*	-0.0906786272273026	Promoter (<=1kb)	9	25163735	25219867	56133	1	ENSMUSG00000001833	ENSMUST00000115272	0
10	117820627	117821026	400	*	*	0.0880896461224793	Distal Intergenic	10	117840843	117841192	350	1	ENSMUSG00000102896	ENSMUST00000193027	-19817
4	149580754	149581488	735	*	*	0.0693784423151444	3' UTR	4	149585090	149585465	376	1	ENSMUSG00000083811	ENSMUST00000122237	-3602
7	14201956	14202355	400	*	*	-0.054817695908267	Intron (ENSMUST00000210034/ENSMUSG00000094156, intron 4 of 4)	7	14150143	14180694	30552	2	ENSMUSG00000030378	ENSMUST00000125941	-21262
2	174169010	174169409	400	*	*	-0.0892928099817611	Promoter (<=1kb)	2	174169363	174187034	17672	1	ENSMUSG00000027523	ENSMUST00000124935	0
17	75312279	75312678	400	*	*	-0.0746209736362003	Promoter (<=1kb)	17	75312563	75698323	385761	1	ENSMUSG00000001870	ENSMUST00000234490	0
8	36272389	36272789	401	*	*	-0.0624083008003307	Exon (ENSMUST00000207505/ENSMUSG00000109372, exon 23 of 33)	8	36267840	36269007	1168	2	ENSMUSG00000110359	ENSMUST00000209883	-3382
8	84937086	84937485	400	*	*	0.0865271347015163	Promoter (1-2kb)	8	84935549	84936238	690	1	ENSMUSG00000097296	ENSMUST00000180630	1537
11	48707723	48708414	692	*	*	-0.092868469540491	Promoter (<=1kb)	11	48697231	48708180	10950	2	ENSMUSG00000040365	ENSMUST00000047145	0
3	157464898	157465297	400	*	*	-0.0658908971948548	Distal Intergenic	3	157426041	157432045	6005	2	ENSMUSG00000106632	ENSMUST00000199819	-32853
13	54354156	54354555	400	*	*	-0.0543070010922928	Intron (ENSMUST00000038101/ENSMUSG00000034987, intron 1 of 2)	13	54346148	54376451	30304	1	ENSMUSG00000034987	ENSMUST00000038101	8008
2	85357599	85357998	400	*	*	-0.066487673437444	Distal Intergenic	2	85313938	85349368	35431	2	ENSMUSG00000075217	ENSMUST00000099923	-8231
8	42373535	42373934	400	*	*	0.0677697095314086	Promoter (2-3kb)	8	42376557	42380167	3611	1	ENSMUSG00000108069	ENSMUST00000203513	-2623
1	64571854	64572253	400	*	*	-0.0942556562769979	Promoter (<=1kb)	1	64571956	64636730	64775	1	ENSMUSG00000025958	ENSMUST00000171164	0
1	170657291	170657690	400	*	*	0.0596759368113866	Promoter (2-3kb)	1	170660334	170660440	107	2	ENSMUSG00000119049	ENSMUST00000179933	2750
19	5944014	5944413	400	*	*	-0.0779441250515689	Promoter (<=1kb)	19	5941166	5944135	2970	2	ENSMUSG00000044390	ENSMUST00000055911	0
2	155211973	155212372	400	*	*	0.0758629425370437	Distal Intergenic	2	155222979	155227977	4999	1	ENSMUSG00000038375	ENSMUST00000151466	-10607
11	88846142	88846541	400	*	*	-0.0860169554627248	Promoter (<=1kb)	11	88814846	88846291	31446	2	ENSMUSG00000000278	ENSMUST00000000287	0
3	60200410	60200809	400	*	*	0.0546057128200572	Distal Intergenic	3	60249779	60250514	736	2	ENSMUSG00000107270	ENSMUST00000201864	49705
12	80992777	80993176	400	*	*	-0.0890732663657654	Promoter (<=1kb)	12	80993150	80997271	4122	1	ENSMUSG00000021134	ENSMUST00000151036	0
3	145126257	145126656	400	*	*	0.0852717365281412	Promoter (1-2kb)	3	145125081	145126107	1027	1	ENSMUSG00000105959	ENSMUST00000199255	1176
2	121101765	121102164	400	*	*	-0.090257757783734	Promoter (<=1kb)	2	121025319	121101822	76504	2	ENSMUSG00000043909	ENSMUST00000110647	0
11	69871359	69871758	400	*	*	-0.0892451717687696	Promoter (<=1kb)	11	69870861	69871522	662	2	ENSMUSG00000018565	ENSMUST00000143175	0
16	5073733	5074132	400	*	*	-0.0928779689390701	Promoter (<=1kb)	16	5062016	5073847	11832	2	ENSMUSG00000022544	ENSMUST00000064635	0
8	7759645	7760044	400	*	*	-0.052678333596485	Distal Intergenic	8	7688764	7688892	129	1	ENSMUSG00000077378	ENSMUST00000104190	70881
11	75521504	75521906	403	*	*	-0.0932741040935428	Promoter (<=1kb)	11	75521814	75539697	17884	1	ENSMUSG00000006127	ENSMUST00000006286	0
17	28451501	28451900	400	*	*	-0.0886378398484605	Promoter (<=1kb)	17	28451674	28520448	68775	1	ENSMUSG00000002250	ENSMUST00000002320	0
8	71062762	71063161	400	*	*	-0.09302845005518	Promoter (<=1kb)	8	71063075	71065468	2394	1	ENSMUSG00000110030	ENSMUST00000211053	0
6	56774462	56774861	400	*	*	-0.0878395564513107	Promoter (<=1kb)	6	56754509	56774721	20213	2	ENSMUSG00000059486	ENSMUST00000114323	0
9	110110187	110110586	400	*	*	-0.0903545739915809	Promoter (<=1kb)	9	110110355	110110477	123	1	ENSMUSG00000098973	ENSMUST00000184437	0
3	5925515	5925920	406	*	*	-0.0873476219953449	Distal Intergenic	3	5946101	5946210	110	1	ENSMUSG00002076241	ENSMUST00020182647	-20181
6	85950330	85950729	400	*	*	0.0667600588021779	Intron (ENSMUST00000201818/ENSMUSG00000107230, intron 2 of 2)	6	85931944	85938649	6706	2	ENSMUSG00000030002	ENSMUST00000151394	-11681
16	33414476	33414876	401	*	*	-0.0922512199587306	Promoter (2-3kb)	16	33416932	33484505	67574	1	ENSMUSG00000035506	ENSMUST00000122314	-2056
19	19208936	19209338	403	*	*	-0.0584703504533979	Distal Intergenic	19	19253263	19253394	132	1	ENSMUSG00000088907	ENSMUST00000158282	-43925
11	59054086	59054485	400	*	*	-0.0923363722742387	Promoter (<=1kb)	11	59051949	59054143	2195	2	ENSMUSG00000049287	ENSMUST00000069631	0
3	89071880	89072279	400	*	*	-0.0900849620504927	Promoter (<=1kb)	3	89072102	89084228	12127	1	ENSMUSG00000068917	ENSMUST00000121212	0
13	64517986	64518385	400	*	*	-0.0921490613599538	Promoter (<=1kb)	13	64511028	64518120	7093	2	ENSMUSG00000021477	ENSMUST00000021933	0
1	172218408	172218807	400	*	*	-0.0864015750342543	Promoter (<=1kb)	1	172215801	172218556	2756	2	ENSMUSG00000102278	ENSMUST00000193540	0
2	167379782	167380181	400	*	*	-0.0916749644928265	Promoter (<=1kb)	2	167380115	167384734	4620	1	ENSMUSG00000042821	ENSMUST00000052631	0
15	99149388	99150111	724	*	*	-0.0902685452336593	Promoter (<=1kb)	15	99140698	99149842	9145	2	ENSMUSG00000037570	ENSMUST00000041190	0
3	22130120	22130519	400	*	*	-0.0578806287869597	Promoter (<=1kb)	3	22128576	22130306	1731	2	ENSMUSG00000106019	ENSMUST00000199072	0
2	38669927	38670326	400	*	*	0.0546916540119247	Promoter (2-3kb)	2	38667748	38668353	606	1	ENSMUSG00000082508	ENSMUST00000122372	2179
14	59060404	59060803	400	*	*	0.0571380644473602	Distal Intergenic	14	59116282	59116764	483	2	ENSMUSG00000098157	ENSMUST00000183285	55961
4	139107655	139108054	400	*	*	-0.0899938325542455	Promoter (<=1kb)	4	139107970	139216841	108872	1	ENSMUSG00000066036	ENSMUST00000165860	0
17	61972312	61972711	400	*	*	0.0520123154546956	Distal Intergenic	17	62087910	62088627	718	2	ENSMUSG00000098123	ENSMUST00000182638	115916
15	83447068	83447467	400	*	*	-0.0917556065202049	Promoter (<=1kb)	15	83447793	83458404	10612	1	ENSMUSG00000041736	ENSMUST00000047419	-326
9	65648280	65648679	400	*	*	0.0626429677859431	Intron (ENSMUST00000159109/ENSMUSG00000040524, intron 2 of 9)	9	65607152	65608426	1275	2	ENSMUSG00000040524	ENSMUST00000159878	-39854
5	99325340	99325739	400	*	*	-0.0735955299961295	Distal Intergenic	5	99186922	99319280	132359	2	ENSMUSG00000105579	ENSMUST00000198339	-6060
3	88420320	88420719	400	*	*	-0.0841353518386384	Distal Intergenic	3	88410060	88417263	7204	2	ENSMUSG00000028063	ENSMUST00000149068	-3057
17	56562851	56563251	401	*	*	-0.0909916716122326	Promoter (<=1kb)	17	56563810	56570610	6801	1	ENSMUSG00000043683	ENSMUST00000060253	-559
8	94994986	94995385	400	*	*	0.0679777544593435	Promoter (<=1kb)	8	94995234	95043855	48622	1	ENSMUSG00000032939	ENSMUST00000211822	0
7	109585419	109585820	402	*	*	-0.0904836374938343	Promoter (<=1kb)	7	109571394	109585658	14265	2	ENSMUSG00000047554	ENSMUST00000094097	0
5	81073143	81073542	400	*	*	-0.0513153159395158	Distal Intergenic	5	81048597	81049470	874	2	ENSMUSG00000083829	ENSMUST00000119065	-23673
14	22037425	22037824	400	*	*	-0.0781015467669354	Promoter (1-2kb)	14	22034027	22039669	5643	2	ENSMUSG00000039081	ENSMUST00000043409	1845
15	6585485	6586158	674	*	*	0.0839913961785173	Intron (ENSMUST00000226412/ENSMUSG00000022148, intron 1 of 1)	15	6599008	6609744	10737	1	ENSMUSG00000022148	ENSMUST00000227175	-12850
17	5257078	5257477	400	*	*	0.0699383878885975	Intron (ENSMUST00000092723/ENSMUSG00000069729, intron 4 of 18)	17	5161041	5162385	1345	2	ENSMUSG00000081783	ENSMUST00000122283	-94693
5	149462041	149462440	400	*	*	-0.0765273531256465	Promoter (<=1kb)	5	149412521	149461495	48975	2	ENSMUSG00000107132	ENSMUST00000202188	-546
2	38533492	38533891	400	*	*	-0.0582762501912788	Promoter (<=1kb)	2	38501183	38533932	32750	2	ENSMUSG00000026750	ENSMUST00000151981	41
5	124170213	124170612	400	*	*	-0.0749888338862223	Promoter (<=1kb)	5	124142704	124170333	27630	2	ENSMUSG00000066278	ENSMUST00000040967	0
13	97326894	97327293	400	*	*	-0.0852064511817155	Intron (ENSMUST00000022169/ENSMUSG00000021665, intron 3 of 13)	13	97320184	97334803	14620	2	ENSMUSG00000021665	ENSMUST00000222700	7510
4	34614736	34615135	400	*	*	-0.0750362353406946	Promoter (<=1kb)	4	34614957	34660167	45211	1	ENSMUSG00000028292	ENSMUST00000029968	0
16	63629915	63630314	400	*	*	-0.0626693784748678	Intron (ENSMUST00000064405/ENSMUSG00000052504, intron 2 of 16)	16	63431386	63683776	252391	2	ENSMUSG00000052504	ENSMUST00000232461	53462
17	74289854	74290253	400	*	*	-0.0895561821452681	Distal Intergenic	17	74307855	74307997	143	1	ENSMUSG00000088060	ENSMUST00000157435	-17602
3	20897527	20897929	403	*	*	-0.0682677472167544	Distal Intergenic	3	20873785	20877853	4069	1	ENSMUSG00000102807	ENSMUST00000194795	23742
2	170243312	170243711	400	*	*	-0.0716703535362181	Intron (ENSMUST00000154650/ENSMUSG00000013523, intron 1 of 6)	2	170247101	170249095	1995	1	ENSMUSG00000086970	ENSMUST00000133586	-3390
15	62094576	62094975	400	*	*	0.0818771440871598	Promoter (<=1kb)	15	62094452	62114354	19903	1	ENSMUSG00000097039	ENSMUST00000182141	124
8	82576291	82576690	400	*	*	0.0629930338242782	Intron (ENSMUST00000213285/ENSMUSG00000037940, intron 9 of 24)	8	82570986	82678829	107844	1	ENSMUSG00000037940	ENSMUST00000216387	5305
3	53370911	53371310	400	*	*	-0.077508903072493	Promoter (<=1kb)	3	53371087	53389176	18090	1	ENSMUSG00000049504	ENSMUST00000058577	0
1	160781720	160782120	401	*	*	-0.0758885800263518	Intron (ENSMUST00000161609/ENSMUSG00000040423, intron 11 of 19)	1	160778547	160779701	1155	1	ENSMUSG00000040423	ENSMUST00000161708	3173
7	12683373	12683772	400	*	*	-0.0867987749117017	Promoter (<=1kb)	7	12683617	12683993	377	2	ENSMUSG00000097115	ENSMUST00000191346	221
3	35818776	35819175	400	*	*	0.0617040972222059	Intron (ENSMUST00000200445/ENSMUSG00000037400, intron 1 of 21)	3	35808283	35910425	102143	1	ENSMUSG00000037400	ENSMUST00000029257	10493
12	87002652	87003051	400	*	*	0.084895111008203	Intron (ENSMUST00000189246/ENSMUSG00000034157, intron 2 of 3)	12	86999431	87009607	10177	1	ENSMUSG00000034157	ENSMUST00000191463	3221
16	56497492	56497891	400	*	*	-0.0532743600155543	Intron (ENSMUST00000231832/ENSMUSG00000035258, intron 21 of 26)	16	56511240	56526057	14818	2	ENSMUSG00000022757	ENSMUST00000127994	28166
10	61531080	61531479	400	*	*	-0.0874836593964789	Promoter (<=1kb)	10	61531293	61538552	7260	1	ENSMUSG00000020087	ENSMUST00000020284	0
11	115977690	115978089	400	*	*	-0.0871448909756294	Promoter (<=1kb)	11	115969399	115977821	8423	2	ENSMUSG00000034341	ENSMUST00000074628	0
11	97200678	97201368	691	*	*	-0.0883723286296015	Distal Intergenic	11	97206542	97220746	14205	1	ENSMUSG00000018882	ENSMUST00000019026	-5174
15	101003270	101003669	400	*	*	-0.0828651862611918	Distal Intergenic	15	101013636	101017921	4286	1	ENSMUSG00000047034	ENSMUST00000070875	-9967
2	164675174	164675940	767	*	*	-0.0890765923977175	Promoter (<=1kb)	2	164675727	164676341	615	1	ENSMUSG00000017760	ENSMUST00000146525	0
10	62437615	62438291	677	*	*	-0.0900678598730177	Promoter (<=1kb)	10	62416030	62438060	22031	2	ENSMUSG00000020075	ENSMUST00000045866	0
5	146197692	146198091	400	*	*	-0.0870314651485285	Intron (ENSMUST00000162494/ENSMUSG00000029635, intron 2 of 11)	5	146194603	146196797	2195	1	ENSMUSG00000029635	ENSMUST00000195944	3089
10	59715765	59716164	400	*	*	-0.0802618821772126	Promoter (<=1kb)	10	59715448	59734343	18896	1	ENSMUSG00000020109	ENSMUST00000020309	317
1	19920183	19920582	400	*	*	-0.0670771220446571	Distal Intergenic	1	20132294	20135772	3479	2	ENSMUSG00000104095	ENSMUST00000194347	215190
12	54645449	54645848	400	*	*	0.0567300393855462	Distal Intergenic	12	54669376	54670003	628	1	ENSMUSG00000112145	ENSMUST00000219812	-23528
8	112316832	112317231	400	*	*	0.0829333099062785	Intron (ENSMUST00000172856/ENSMUSG00000033545, intron 2 of 5)	8	112333380	112349594	16215	1	ENSMUSG00000033545	ENSMUST00000173922	-16149
2	143853043	143853442	400	*	*	-0.0908201618043221	Promoter (<=1kb)	2	143789315	143853183	63869	2	ENSMUSG00000027422	ENSMUST00000016072	0
14	66012366	66012765	400	*	*	0.0639524455414088	Distal Intergenic	14	66043286	66055271	11986	1	ENSMUSG00000022033	ENSMUST00000022612	-30521
15	50589616	50590015	400	*	*	-0.048569783476757	Intron (ENSMUST00000165201/ENSMUSG00000038679, intron 4 of 5)	15	50682895	50690917	8023	2	ENSMUSG00000038679	ENSMUST00000183421	100902
17	40154520	40154919	400	*	*	-0.0868812637570438	Promoter (2-3kb)	17	40157244	40159092	1849	1	ENSMUSG00000119584	ENSMUST00000240377	-2325
13	118412609	118413008	400	*	*	-0.0485200412336191	Distal Intergenic	13	118523166	118524659	1494	1	ENSMUSG00000097411	ENSMUST00000238663	-110158
2	58457096	58457504	409	*	*	-0.0756546634878144	Promoter (<=1kb)	2	58337161	58457169	120009	2	ENSMUSG00000026836	ENSMUST00000056376	0
7	56624408	56624807	400	*	*	-0.0583110298002414	Intron (ENSMUST00000068911/ENSMUSG00000055026, intron 5 of 9)	7	56675829	56677228	1400	1	ENSMUSG00000108377	ENSMUST00000206642	-51022
4	125996892	125997311	420	*	*	-0.0883522232677087	Promoter (<=1kb)	4	125997750	126034821	37072	1	ENSMUSG00000042608	ENSMUST00000116286	-439
4	116983216	116983615	400	*	*	-0.0913321238703207	Promoter (<=1kb)	4	116978510	116982922	4413	2	ENSMUSG00000073771	ENSMUST00000143213	-294
19	29041977	29042376	400	*	*	-0.0712540068132604	Promoter (2-3kb)	19	29044747	29046903	2157	1	ENSMUSG00000118038	ENSMUST00000235636	-2371
3	61669346	61669746	401	*	*	-0.0547382407152684	Distal Intergenic	3	61369280	61370282	1003	2	ENSMUSG00000098208	ENSMUST00000182720	-299064
16	29701402	29701801	400	*	*	-0.0836903993269203	Distal Intergenic	16	29648274	29653546	5273	2	ENSMUSG00000116891	ENSMUST00000232318	-47856
8	18666096	18666495	400	*	*	0.0736223155464173	Promoter (1-2kb)	8	18663997	18664125	129	2	ENSMUSG00000077287	ENSMUST00000104099	-1971
5	126615050	126615449	400	*	*	0.0493936141649553	Distal Intergenic	5	126590939	126591045	107	2	ENSMUSG00000084551	ENSMUST00000122602	-24005
13	54835298	54835697	400	*	*	-0.069569723042493	Promoter (<=1kb)	13	54827212	54835621	8410	2	ENSMUSG00000034928	ENSMUST00000177950	0
14	82302683	82303082	400	*	*	0.0730460738508113	Distal Intergenic	14	82358871	82359675	805	1	ENSMUSG00000115731	ENSMUST00000226942	-55789
2	127390759	127391160	402	*	*	-0.0535996747963766	Distal Intergenic	2	127368393	127383387	14995	2	ENSMUSG00000027376	ENSMUST00000028855	-7372
8	41999302	41999701	400	*	*	-0.0530632996525164	Distal Intergenic	8	42061705	42062706	1002	2	ENSMUSG00000098149	ENSMUST00000183246	63005
13	63762396	63762795	400	*	*	0.074558341791866	Distal Intergenic	13	63769314	63774695	5382	2	ENSMUSG00000113453	ENSMUST00000221519	11900
2	109508228	109508627	400	*	*	-0.0864210386238748	Promoter (<=1kb)	2	109507377	109557352	49976	1	ENSMUSG00000048482	ENSMUST00000111046	851
16	74831518	74831918	401	*	*	-0.0619070082278411	Promoter (<=1kb)	16	74827740	74831819	4080	2	ENSMUSG00000116809	ENSMUST00000231240	0
16	45707028	45707427	400	*	*	0.052384742975386	Intron (ENSMUST00000134802/ENSMUSG00000033149, intron 1 of 15)	16	45721404	45722330	927	2	ENSMUSG00000033149	ENSMUST00000128365	14903
17	36542208	36542607	400	*	*	-0.0856628724872325	Promoter (1-2kb)	17	36540361	36540918	558	1	ENSMUSG00000092612	ENSMUST00000172535	1847
19	4241394	4242147	754	*	*	-0.0841350212453916	Promoter (<=1kb)	19	4242064	4245419	3356	1	ENSMUSG00000040385	ENSMUST00000046094	0
2	117610751	117611150	400	*	*	-0.0571119397566721	Distal Intergenic	2	117632598	117634145	1548	2	ENSMUSG00000101394	ENSMUST00000191321	22995
11	68743689	68744088	400	*	*	-0.0888068548354513	Promoter (<=1kb)	11	68712260	68743961	31702	2	ENSMUSG00000018736	ENSMUST00000018880	0
4	137669363	137669762	400	*	*	-0.0869752076100894	Intron (ENSMUST00000102518/ENSMUSG00000057530, intron 9 of 19)	4	137640993	137653363	12371	1	ENSMUSG00000057530	ENSMUST00000129607	28370
8	112732055	112732454	400	*	*	0.0857669348230157	Promoter (<=1kb)	8	112728981	112731399	2419	2	ENSMUSG00000031948	ENSMUST00000212693	-656
X	162859006	162859772	767	*	*	-0.0876603540713293	Promoter (<=1kb)	20	162853701	162859117	5417	2	ENSMUSG00000040749	ENSMUST00000037928	0
16	89632696	89633095	400	*	*	0.0585418845331135	Promoter (1-2kb)	16	89584746	89634763	50018	2	ENSMUSG00000002489	ENSMUST00000089084	1668
8	127277729	127278128	400	*	*	-0.086285542988524	Distal Intergenic	8	127293709	127317727	24019	1	ENSMUSG00000097060	ENSMUST00000181773	-15581
5	31609583	31609982	400	*	*	-0.077535436380751	Promoter (<=1kb)	5	31609775	31624001	14227	1	ENSMUSG00000062761	ENSMUST00000202061	0
8	88948033	88948432	400	*	*	0.0628362413405078	Intron (ENSMUST00000066748/ENSMUSG00000036779, intron 2 of 11)	8	88925842	88986350	60509	1	ENSMUSG00000036779	ENSMUST00000118952	22191
15	77220539	77220938	400	*	*	-0.0849604285091322	Distal Intergenic	15	76997806	77191204	193399	2	ENSMUSG00000033565	ENSMUST00000228582	-29335
4	118477797	118478196	400	*	*	-0.0782250479061379	Promoter (<=1kb)	4	118477996	118484973	6978	1	ENSMUSG00000028729	ENSMUST00000030501	0
3	121173363	121173762	400	*	*	0.0830901934804296	Promoter (<=1kb)	3	121173908	121174328	421	2	ENSMUSG00000106455	ENSMUST00000197896	566
15	67450958	67451357	400	*	*	-0.0491209524575094	Distal Intergenic	15	67745677	67745916	240	1	ENSMUSG00000115875	ENSMUST00000230402	-294320
9	85209290	85209689	400	*	*	-0.0795980609996355	Promoter (<=1kb)	9	85202492	85209401	6910	2	ENSMUSG00000032265	ENSMUST00000187711	0
16	85935065	85935469	405	*	*	0.0642548002550995	Distal Intergenic	16	85936192	85947564	11373	2	ENSMUSG00000116556	ENSMUST00000231250	12095
1	36239379	36239778	400	*	*	0.0762477835099025	Intron (ENSMUST00000046875/ENSMUSG00000037470, intron 11 of 40)	1	36235056	36247285	12230	2	ENSMUSG00000037470	ENSMUST00000172592	7507
6	38049035	38049434	400	*	*	0.0717144595308208	Intron (ENSMUST00000114908/ENSMUSG00000038600, intron 13 of 21)	6	38055850	38060307	4458	2	ENSMUSG00000038600	ENSMUST00000144752	10873
2	118237091	118237708	618	*	*	0.0627905898016872	Intron (ENSMUST00000110877/ENSMUSG00000005102, intron 3 of 10)	2	118242827	118305715	62889	1	ENSMUSG00000005102	ENSMUST00000110870	-5119
2	179898744	179899143	400	*	*	-0.0898275705265428	Promoter (<=1kb)	2	179899170	179900238	1069	1	ENSMUSG00000039001	ENSMUST00000059080	-27
2	26928601	26929000	400	*	*	0.0601267318886054	Promoter (1-2kb)	2	26927297	26930865	3569	1	ENSMUSG00000087364	ENSMUST00000149378	1304
16	20535815	20536214	400	*	*	-0.0829464661331626	Promoter (<=1kb)	16	20536415	20541017	4603	1	ENSMUSG00000021018	ENSMUST00000021405	-201
8	4302074	4302473	400	*	*	0.0854698110976084	Promoter (<=1kb)	8	4303080	4306220	3141	1	ENSMUSG00000011837	ENSMUST00000011981	-607
15	102307954	102308353	400	*	*	-0.0785183003864716	Distal Intergenic	15	102314578	102316670	2093	1	ENSMUSG00000001280	ENSMUST00000170884	-6225
7	19043761	19044499	739	*	*	-0.0827799058359015	Promoter (<=1kb)	7	19036621	19043976	7356	2	ENSMUSG00000003545	ENSMUST00000003640	0
17	24633231	24633630	400	*	*	-0.0850568849488567	Promoter (<=1kb)	17	24633539	24635644	2106	1	ENSMUSG00000034681	ENSMUST00000234342	0
8	119076878	119077277	400	*	*	0.083045293247776	Intron (ENSMUST00000117160/ENSMUSG00000031841, intron 1 of 13)	8	119108465	119108930	466	2	ENSMUSG00000110662	ENSMUST00000213075	31653
X	161774360	161774759	400	*	*	0.0671765957554574	Intron (ENSMUST00000112303/ENSMUSG00000031360, intron 14 of 18)	20	161752101	161814315	62215	1	ENSMUSG00000031360	ENSMUST00000112300	22259
3	103902257	103902657	401	*	*	-0.0610270604630986	Promoter (1-2kb)	3	103903736	103904881	1146	1	ENSMUSG00000058388	ENSMUST00000130385	-1079
4	7391591	7391990	400	*	*	-0.0816173436030552	Distal Intergenic	4	7560688	7573801	13114	1	ENSMUSG00000086070	ENSMUST00000129988	-168698
3	57189027	57189426	400	*	*	0.0765385444650604	Distal Intergenic	3	57179162	57179790	629	2	ENSMUSG00000104534	ENSMUST00000199542	-9237
16	8556640	8557039	400	*	*	-0.0747248384937519	Promoter (<=1kb)	16	8507464	8556284	48821	2	ENSMUSG00000022710	ENSMUST00000160326	-356
2	90225308	90225707	400	*	*	-0.0668855373063864	Distal Intergenic	2	90229027	90234241	5215	1	ENSMUSG00000082980	ENSMUST00000216111	-3320
16	53000433	53000834	402	*	*	-0.0501996065077109	Distal Intergenic	16	53224449	53224556	108	2	ENSMUSG00000064511	ENSMUST00000082577	223722
